height,weight,years,country
74.0,215.0,44.4522259802,USA
75.0,205.0,41.8412670761,USA
67.0,165.0,38.0905821445,USA
67.0,155.0,35.9070205007,USA
74.0,168.0,,USA
67.0,159.0,42.6440068021,CHL
70.0,150.0,33.9508561172,ZAF
,,,USA
,,,USA
72.0,710.0,32.8166095418,USA
71.0,145.0,45.9261985829,NZL
69.0,170.0,43.6988013226,AUS
72.0,195.0,,USA
73.0,185.0,45.9700341994,AUS
74.0,175.0,37.2275684459,USA
,,31.8166095418,CHL
68.0,155.0,32.137157487,PRI
73.0,165.0,,TTO
73.0,209.0,25.7727739254,KOR
,,25.6577054322,USA
67.0,,,USA
,,,USA
73.0,180.0,31.3645547473,USA
74.0,170.0,45.4440068021,SWE
69.0,160.0,,USA
,,25.3727739254,USA
68.0,228.0,27.9261985829,THA
73.0,195.0,46.1672944733,AUS
72.0,185.0,38.3015410487,MEX
,,,USA
,,,USA
69.0,160.0,41.337157487,USA
74.0,190.0,,USA
73.0,143.0,31.7864725555,AUS
70.0,155.0,,USA
,,,USA
,,,USA
73.0,185.0,44.2796232405,IND
72.0,190.0,,USA
72.0,185.0,43.1892122816,USA
74.0,175.0,,USA
68.0,175.0,34.4412670761,USA
,,,USA
72.0,175.0,36.2823629665,USA
69.0,180.0,31.0166095418,KOR
65.0,,26.7152396788,KOR
,,,NZL
71.0,185.0,45.1371574871,USA
73.0,175.0,31.3234588569,USA
,,,USA
,,,ENG
73.0,175.0,33.8549657062,USA
71.0,,31.334417761,ENG
,,,USA
,,24.5974314597,CAN
70.0,,,USA
,,,USA
76.0,195.0,41.9672944734,USA
,,,USA
71.0,170.0,,USA
71.0,200.0,44.9371574871,USA
73.0,198.0,36.0933218706,AUS
74.0,200.0,36.3892122816,USA
,,,USA
,,,USA
72.0,180.0,34.6768835145,CAN
70.0,185.0,44.3426369391,USA
69.0,160.0,23.7946917336,CAN
72.0,195.0,,USA
71.0,175.0,,NZL
,,,USA
74.0,215.0,47.3727739254,USA
68.0,165.0,46.8522259802,USA
71.0,195.0,44.7919520076,USA
74.0,198.0,32.6220889939,ZAF
76.0,215.0,32.7124999528,USA
,,,ESP
74.0,168.0,31.4768835145,ENG
,,,USA
71.0,170.0,48.4604451583,USA
73.0,165.0,24.2166095419,USA
,,22.531678035,CAN
74.0,185.0,47.2549657063,USA
