dob,height,hometown,name,weight
1/16/73,"6'2""","Providence,USA","Adamonis,Brad",215lbs
8/27/75,"6'3""","Bartlesville,USA","Adams,Blake",205lbs
5/27/79,"5'7""",USA,"AdamsIII,Frank",165lbs
8/1/81,"5'7""","Chicago,USA","Affrunti,Joe",155lbs
,"6'2""","Roanoke,USA","Agee,Brian",168lbs
11/7/74,"5'7""","Valdivia,CHL","Aguilar,Felipe",159lbs
7/16/83,"5'10""","Johannesburg,ZAF","Aiken,Thomas",150lbs
,,"Metairie,USA","Ajubita,Neal",
,,USA,"Albertson,Anders",
9/2/84,"6'0""","Caldwell,USA","Aldridge,Tyler",710lbs
7/28/71,"5'11""","Hamilton,NZL","Alker,Steven",145lbs
10/18/73,"5'9""","Melbourne,AUS","Allan,Steve",170lbs
1/31/59,"6'0""","SanMateo,USA","Allen,Michael",195lbs
7/12/71,"6'1""","Melbourne,AUS","Allenby,Robert",185lbs
4/6/80,"6'2""","Ashland,USA","Allred,Jason",175lbs
9/2/85,,"Santiago,CHL","Alvarado,Benjamin",
5/8/85,"5'8""","Hamacao,PRI","Alverio,Max",155lbs
4/28/64,"6'1""","SanFernando,TTO","Ames,Stephen",165lbs
9/17/91,"6'1""","Seoul,KOR","An,Byeong-Hun",209lbs
10/29/91,,"Hurricane,USA","Anania,Brian",
,"5'7""","Mission,USA","Ancer,Abraham",
,,USA,"Andersen,Mason",
2/14/86,"6'1""","Annapolis,USA","Anderson,Mark",180lbs
1/20/72,"6'2""","Halmstad,SWE","AnderssonHed,Fredrik",170lbs
1/25/64,"5'9""","Bristol,USA","Andrade,Billy",160lbs
2/10/92,,USA,"Anguiano,Mark",
7/23/89,"5'8""","Bangkok,THA","Aphibarnrat,Kiradech",228lbs
5/1/71,"6'1""","Cohuna,AUS","Appleby,Stuart",195lbs
3/11/79,"6'0""","MexicoCity,MEX","Aragon,Alex",185lbs
,,USA,"Arendell,Connor",
,,USA,"Arizabaleta,AlvaroToteJ.",
2/27/76,"5'9""","Akron,USA","Armour,Ryan",160lbs
10/8/59,"6'2""","Denver,USA","ArmourIII,Tommy",190lbs
9/13/85,"6'1""","Sydney,AUS","Arnold,Scott",143lbs
,"5'10""","Missoula,USA","Arp,Riley",155lbs
,,USA,"Arvidsson,Oskar",
,,USA,"Atkins,Matt",
3/20/73,"6'1""","Asansol,IND","Atwal,Arjun",185lbs
1/27/64,"6'0""","Tampa,USA","Austin,Woody",190lbs
4/22/74,"6'0""","Athens,USA","Axley,Eric",185lbs
1/6/60,"6'2""","Holyoke,USA","Azinger,Paul",175lbs
1/18/83,"5'8""","Richmond,USA","Baca,Ryan",175lbs
,,USA,"Backel,Camden",
3/17/81,"6'0""","Lebanon,USA","Baddeley,Aaron",175lbs
6/21/86,"5'9""","Daegu,KOR","Bae,Sang-Moon",180lbs
10/8/90,"5'5""","Seoul,KOR","Baek,Seuk-Hyun",
,,NZL,"Baek,Todd",
5/11/72,"5'11""","MiamiBeach,USA","Baird,Briny",185lbs
3/1/86,"6'1""","Brownstown,USA","Baker,Chris",175lbs
,,USA,"Baker,Mark",
,,"Clevedon,ENG","Balcombe,Alister",
8/20/83,"6'1""","Laconia,USA","Baldwin,Mark",175lbs
2/25/86,"5'11""",ENG,"Baldwin,Matthew",
,,USA,"Balin,Daniel",
11/19/92,,"Truro,CAN","Banks,Eric",
,"5'10""","Shreveport,USA","Barbaree,Phillip",
,,USA,"Barber,Blayne",
7/12/75,"6'4""","LongBeach,USA","Barcelo,Rich",195lbs
,,USA,"Bard,Derek",
,"5'11""",USA,"Bardgett,Justin",170lbs
7/23/72,"5'11""","Henderson,USA","Barlow,Craig",200lbs
5/25/81,"6'1""","Muswellbrook,AUS","Barnes,Kurt",198lbs
2/6/81,"6'2""","Stockton,USA","Barnes,Ricky",200lbs
,,USA,"Barron,Derek",
,,"Ocala,USA","Bartlett,Jonathan",
10/24/82,"6'0""","Calgary,CAN","Baryla,Chris",180lbs
2/25/73,"5'10""","Monroe,USA","Bateman,Brian",185lbs
9/8/93,"5'9""","Edmonton,CAN","Bateman,Wil",160lbs
6/12/61,"6'0""","Quincy,USA","Bates,Ben",195lbs
,"5'11""","Auckland,NZL","Beale,James",175lbs
,,"Reno,USA","Becher,Jared",
2/15/70,"6'2""","Minneapolis,USA","Beckman,Cameron",215lbs
8/24/70,"5'8""","Phoenix,USA","Beem,Rich",165lbs
9/14/72,"5'11""","Albuquerque,USA","BegayIII,Notah",195lbs
11/12/84,"6'2""","Pretoria,ZAF","Bekker,Oliver",198lbs
10/10/84,"6'4""","Mesa,USA","Beljan,Charlie",215lbs
,,ESP,"Bello,Rafael",
1/4/86,"6'2""","Guildford,ENG","Benson,Seve",168lbs
,,"Windham,USA","BerberianJr,Rich",
1/14/69,"5'11""","LosAngeles,USA","BerganioJr,David",170lbs
4/7/93,"6'1""","Jupiter,USA","Berger,Daniel",165lbs
12/13/94,,"MontSaint-Hilaire,CAN","Bernard,Hugo",
3/30/70,"6'2""","Denver,USA","Bertsch,Shane",185lbs
4/12/75,"5'11""","Alameda,USA","Bettencourt,Matt",180lbs
